127.0.0.1 - - [15/Jul/2022:14:45:40 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/blog HTTP/1.1" 200 14636
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/open-sans.css HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/raleway.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/css/responsive.css HTTP/1.1" 200 22227
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/css/font-awesome.css HTTP/1.1" 200 21993
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/css/bootstrap.css HTTP/1.1" 200 131837
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/css/style.css HTTP/1.1" 200 146085
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/css/hippo-green.css HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/js/kanzi-menu.js HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/images/logo-bloomreach.svg HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/images/gogreenlogo2.png HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/js/bootstrap.min.js HTTP/1.1" 200 40744
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/images/sprites@2x.png HTTP/1.1" 200 19483
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/raleway/cIFypx4yrWPDz3zOxk7hIQLUuEpTyoUstqEm5AMlJo4.woff HTTP/1.1" 200 23124
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/fontawesome-webfont.woff HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/raleway/xkvoNo9fC8O2RDydKj12b73hpw3pgy2gAi-Ip7WPMi0.woff HTTP/1.1" 200 23144
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/open-sans/cJZKeOuBrn4kERxqtaUH3bO3LdcAZYWl9Si6vvxL-qU.woff HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/fonts/raleway/CcKI4k9un7TZVWzRVT-T873hpw3pgy2gAi-Ip7WPMi0.woff HTTP/1.1" 200 23176
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:27 +0200] "GET /site/webfiles/1657889132618/images/favicon.ico HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:46:31 +0200] "GET /site/news/2022/04/blog-news.html HTTP/1.1" 200 9001
